,review,Aspect,preds
276,"Of course, the split keys are OK",keys,keys are OK 
277,"It is also quite low profile which would be alright except that there is only about an inch of plastic to try to rest your hands on below the bottom row of keys, which means that your hands are sitting on the desk as you try to type",keys,"keys, which means that your hands are sitting on the desk "
278,"The arrow keys are much more difficult to use than the standard, well-designed inverted T layout",keys,keys are much more difficult to use 
279,"While your fingers rested comfortably on the bottom row of arrow keys in the old layout, in the new your fingers don't really fit at all--you can only put two fingers on at once, and you need to move them in awkward ways to switch to the up and down keys from the left and right keys",keys,keys don't really fit 
280,"Why move the keys around into a LESS useful layout? [move] [useful]
",keys,keys around into a LESS useful layout 
281,"If you're like me and you end up typing on lots of different keyboards, AND you use the arrow keys a lot to navigate, it turns out to be quite painful to switch back and forth between the different layouts",keys,very painful to switch back and forth between the different layouts 
282,"Media control keys should be switched with Function Keys, I'm sure people will be using the play/pause button more often than F7",keys,play/pause button more often 
283,"Range is good, about what is advertized, but I have found that if there is something/someone between keyboard and receiver than its about 50% on keystroke accuracy",keys,range is good 
284,With a clear line of sight I would but keystroke accuracy at about 90% Final Thoughts: I am very happy with the price/product,keys,keystroke accuracy at about 90% 
285,The right shift key seemed to have been made poorly b/c it was much louder and had a different pitch than the other keys,keys,key seemed to have been made poorly 
286,"I have owned this keyboard for 4 days now, I loved it at first, lightweight comfortable to use, the keys aren't loud when you're typing and then tonight I began having problems",keys,keys aren't loud 
287,"Everything about it is good in principle:  the keys are big enough to easily press, light up nicely in the dark, and are still small enough to fit in something the size of a normal remote",keys,keys are big enough to easily press 
288,"The main thing I've been looking for in a new ergonomic keyboard is the correct setup for the arrow keys, with left, down, and right in a straight row, and up right above down (follow that? ['ve, been, looking, is, left, follow] [main, new, ergonomic, correct, straight]
",keys,correct setup for the arrow keys 
289,All the keys have a fairly consistent feel and are quiet,keys,keys have a fairly consistent feel 
290,"I preferred the utility button layout of the older Natural Keyboard Pro, and rather wish the function keys had their normal functions on the top (F1, F2, etc",keys,keys had their normal functions 
291,"If all the keys were this loud, it wouldn't be a problem, but it's very annoying and distracting to be typing and have a very loud slam/click every time I hit a space",keys,keys were this loud 
292,"I have a pretty hard keystroke, so I really put it through the wringer",keys,hard keystroke 
293,"It has decent keys, etc",keys,has decent keys 
294,I ordered this keyboard for it's small size and backlit keys,keys,backlit keys 
295,"It's comfortable in the hand, the keys give a nice tactile feedback when pressing them, the touchpad works great, the backlight works great",keys,keys give a nice tactile feedback 
296,#NAME?,keys,#NAME?
297,#NAME?,keys,#NAME?
298,"I could do with regular sized ""H"" and ""N"" keys if it would mean not hunting the ENTER",keys,keys if it would mean not hunting 
299,#NAME?,keys,#NAME?
300,It did seem to have some neat features/ short cut keys though - I am really disappointed the rest of it didn't work better,keys,short cut keys 
301,The wider base and outward angle of the keys put me in a more natural typing posture with less strain on my wrists,keys,angle of the keys 
302,"Not only does this keyboard put me in a better position with the keys angled out, it also raises the front end of the keyboard, further forcing the user into good typing posture",keys,keys angled out 
303,"Unfortunately I do have issues with the keys in the bottom row of the right group (n, m, comma, period, /) not registering",keys,issues with the keys 
304,"However, the one I just received in black had a very loud space bar that was also too loose, especially compared to all of the other keys",keys,loud space bar 
305,Suggest you paint all your keys with clear fingernail polish to protect the painted on letters,keys,polish to protect the painted on letters 
306,It could be any number of keys or any pattern of keys that will go faulty because of poor grounding internally,keys,keys that will go faulty 
307,"After a few months of putting up with this, the keyboard started sending shutdown commands to various applications if you just lift the keyboard or touched any of the keys",keys,keyboard started sending shutdown commands 
308,This is very frustrating to my wife who has to look at the keys to type,keys,keys to type 
309,Its because of the section where the mouse pad is puts a distance between your right thumb and the alpha keys,keys,pad is puts a distance 
310,They keys were nice & quiet which was great,keys,keys were nice & quiet 
311,I'm not used to nor need the extra special dedicated buttons/keys,keys,I'm not used to nor need the extra special dedicated buttons 
312,"By then I was so stressed, I was jealous they didn't have to deal with the curve any longer, but all my keys still worked",keys,keys still worked 
313,The keys are slightly raised so it's easy to type,keys,keys are slightly raised 
314,"second: WHY IS THERE A START next to my shift and ctrl keys? [IS] [second]
",keys,ctrl keys?
315,"other than that, they keys feel okay, I miss my keytronic 1985 ergo board I had last century, it was MORE designed for ten finger typists that did 200 pages ON MECHANICAL TYPEWRITERS, a day",keys,keys feel okay 
316,sadly it appears all keybds designed after a certain year all have these misfit keys placed in the WORSE POSSIBLE PLACE,keys,misfit keys 
317,Going to dump this and hope to find one with softer keys,keys,softer keys 
318,"Now if Microsoft could figure out how to combine the light, pleasing keys from that with this one's ergonomic shape, they'd have a real winner",keys,pleasing keys 
319,"I suspect it's because instead of the older (and more expensive) method of injection molding the symbols on the keys which makes them a permanent part of the key, they are now using the much cheaper method of using something like decals which is only a surface treatment and so rub off fairly quickly",keys,keys which makes them a permanent part 
320,The keys were clear looking and you had to pull of a back plate of the keyboard to get to the wireless receiver,keys,keys were clear looking 
321,"Several keys that you will use very often are even harder: The space, backspace and enter key",keys,keys that you will use very often are even harder 
322,"A cheaper keyboard, Microsoft Comfort Curve Keyboard 2000 is much better, although its ""Backspace"" is also stupidly harder to press than other keys",keys,harder to press than other keys 
323,"However, be aware that Microsoft decided to rearrange several clusters of keys on this keyboard",keys,rearrange several clusters of keys 
324,"The arrow keys are in a diamond pattern rather than the traditional (and IMHO efficient) ""inverted-T""",keys,keys are in a diamond pattern 
325,"As a touch-typist and a programmer, I've come to expect these keys to be in a certain position",keys,keys to be in a certain position 
326,"It may have helped shoulder and wrist pain a bit, but it caused my fingers to hurt terribly from having to hit the keys harder than I liked",keys,hit the keys harder 
327,"The design is great, keys are easy to push",keys,keys are easy to push 
328,The keys feel soft and less clicky than my MS Wireless Pro keyboard ($99),keys,keys feel soft 
329,"I do appreciate that the numberpad and the function keys (Insert, Delete, Home, etc) are in the traditional arrangement",keys,"keys (Insert, Delete, Home, etc) are in the traditional arrangement "
330,"For people who have heavy keystrokes, the heavy keys might be okay",keys,heavy keys 
331,"For someone like me who likes light keys with positive action and who likes to type with a ""fluid"" style of motion, this keyboard is far from ideal",keys,keyboard is far from ideal 
332,"I would recommend this keyboard only for those who do not mind having heavy keys (as a comparison, if you have an IBM laptop and like the firm keys, this keyboard might be for you)",keys,heavy keys 
333,"If you want an ""ergonomic"" keyboard with split and angled key layout, check out the Logitech alternative which feature lighter keys",keys,split and angled key layout 
334,The extra shortcut keys are pretty awesome,keys,shortcut keys are pretty awesome 
335,"Now, granted, this keyboard does allow it, but you have to perform a two-keystroke combination",keys,perform a two-keystroke 
336,My old keyboard allows me to immediately bring up the correction box with one keystroke,keys,keyboard allows me to immediately bring up the correction box 
337,This new unit requires either going to my mouse or performing a cumbersome two-keystroke combination,keys,cumbersome two-keystroke 
338,I have three different wireless Logitech keyboards here and they all have different placements for these keys,keys,different placements for these keys 
339,"It's very, very annoying to not be able to blindly hit these keys universally",keys,blindly hit these keys 
340,"Well, I would not expect you would have to manually turn on the back lighting (which is not equally lit on all keys) and if you forget, the battery drains quicker",keys,battery drains quicker 
341,"If you don't use the device for a few minutes, it goes into some sleep state and then have to press a variety of keys to wake up",keys,press a variety of keys 
342,I have tried several of Microsoft's split keyboards and found that the space bar and some other keys did not operate smoothly on several models so I returned them,keys,keys did not operate smoothly 
343,"This keyboard is not only less expensive than those, but all the keys operate smoothly and with a small amount of noise",keys,keys operate smoothly 
344,"Besides making those keys smaller than older boards, I see no reason for them to have rearranged them, but I'm sure that in time my hands will get used to it",keys,keys smaller 
345,If you rest your wrist on it such that you bend your hand up to reach the keys you may cause yourself some wrist problems,keys,bend your hand up to reach the keys 
346,"So all in all, the keys operate nicely, it's reasonably quiet and seems that it will be around my office for quite some time",keys,keys operate nicely 
347,The extra features you get with the 4000 (like the zoom controller and soft keys) are marginal at best and don't make up for the lack of reliability,keys,soft keys 
348,I bought this to help with carpel tunnel but it has made it worse  You have to really push to use the keys and stretch like crazy if you have small hands  i have made 6 mistakes typing this,keys,push to use the keys 
349,"Loved that keyboard, but the keys only held up for a little over a year before getting really difficult to use",keys,keys only held up for a little over a year 
350,"It is really responsive( at least 15 feet away, which is all you would want to be) and the keys type just like you would text on a phone",keys,keys type just like you would text 
351,"The main keys are fairly quiet, but the spacebar ""clacks"" like a gun going off in comparison",keys,"spacebar ""clacks"" like a gun "
352,"The main keys are a bit quieter than my 10+ yr old ""Microsoft Natural Keyboard"" but overall that one is quieter compared to the constant ""clack"" (like there's ducks in my office) of the space bar",keys,keys are a bit quieter 
353,"I still prefer my old PS/2 white (now yellow) keyboard w/o all of the ""hot keys"" which is working great still but just no pretty anymore",keys,keys) which is working great 
354,The keys are very quiet,keys,keys are very quiet 
355,The Microsoft Natural Keyboard Elite is easy to type on - the keys feel light and you don't need to use too much pressure,keys,keys feel light 
356,"It does not have separate 'Home', 'End', 'Page Up' and 'Page Down' keys that I use very frequently",keys,"does not have separate 'Home', 'End' and 'Page Down' keys "
357,"They keys are arranged in a straight rectangle fashion, not staggered like a regular qwerty keyboard, so it's often unintuitive to type on it",keys,keys are arranged in a straight rectangle 
358,"Unfortunately, for about 1/4 of the keys, when you press keys, the keyboard sends two keystrokes - the key pressed and the neighbouring key",keys,keyboard sends two keystrokes 
359,The keys are soft and not overly loud,keys,keys are soft 
360,"I took it apart to see why it stopped working and I was surprised to see that the plastic ""floor"" under the keys is not a single piece, but actually has lots of cracks and holes by design, and they give direct access to the electronics to anything you may throw in there by accident",keys,keys is not a single piece 
361,"Withing six months an even worse problem (letters wearing off on the keys)with this keyboard! [Withing, wearing] [worse]
",keys,letters wearing off on the keys 
362,"I was seduced by the fancy function keys, the zoom bottom, and the cushioned wrist rest",keys,I was seduced by the fancy function keys 
363,The rest of the keys were quiet,keys,keys were quiet 
364,"Aside from that, the keyboard feels comfortable and it's correctly sized, and provides some extra keys that some might find useful (multimedia, mail, desktop, window switching and so)",keys,keyboard feels comfortable 
365,"As with several other people who have shared their thoughts on this product, I must say that I absolutely hate it because of the tiny arrow, page up/down, home, insert, delete, and end keys",keys,tiny arrow 
366,"As a HTPC remote, this keyboard surely has far too few built-in media keys",keys,keyboard surely has far too few built-in media keys 
367,"It only has mute, volume up and down keys at the top",keys,keys at the top 
368,"I've been using PowerDVD on the PC for a long time and I'm very much used to just pressing F, B, N, P (hotkeys for forward, rewind, next chapter, previous chapter) instead of using dedicated media keys",keys,I'm very much used to just pressing F 
369,"There are also many special functions accessible only via hotkeys, such as Blu-ray's red, blue, green, and yellow buttons",keys,blue buttons 
370,So I'm very comfortable being without dedicated media keys,keys,without dedicated media keys 
371,"It feels more cramped than a laptop keyboard, mainly due to the much smaller Enter, right Shift, Backspace, and Control keys, which are the most used (that's why they are usually made wider)",keys,"keys, which are the most used "
372,"Other often-used keys like Home, End, PgUp, and PgDn also need to be Fn-extended (meaning you need to press the green Fn key plus another key)",keys,Fn-extended (meaning you need to press the green Fn key plus another key)
373,"I like the soft feel of the keys and it's not terribly noisy, like my Dell L100",keys,keys and it's not terribly noisy 
374,"But one attribute kills the potential beauty of this board, the space bar, which is one of the most used keys",keys,"space bar, which is one of the most used keys "
375,"Keyboard feels decent, although I will say that the keys feel like they have multiple-levels and it's kind of odd to hear the space bar make 3-4 clicks for one function (this could just be exclusively my remote) The one MAJOR con I have is the fact that it's an RF device that is easily attenuated by your left hand and seemingly has line-of-sight problems",keys,space bar make 3-4 clicks 
376,"The size of this keyboard is built more for guys who have larger hands, and I find I have to constantly move my hand around or stretch my fingers to reach all the letter keys",keys,stretch my fingers to reach all the letter keys 
377,"Touch typists all know that the first five number keys are hit by the fingers of the left hand, and six through ten are hit by the right",keys,keys are hit 
378,"I just can't get used to the Ergo type keyboard, used to a flat one, never seem to get my fingers on the right keys",keys,never seem to get my fingers on the right keys 
379,Looks like they have one light in the middle and it barely manages to light up the far away keys,keys,barely manages to light up the far away keys 
380,I would have much preferred the arrow keys placed under the touch pad buttons than in its current location,keys,touch pad buttons than in its current location 
381,unfortunately the small right shift key and its promximity to the arrow keys produces way too many errors for touch typists,keys,promximity to the arrow keys 
382,"To make matters worse the reduced-size cursor keys are not in the usual inverted T, but in a cruciform arrangement, which makes this keyboard pretty useless for people who engage in FPS games like Quake 2/3, Unreal etc",keys,reduced-size cursor keys 
383,"First, which is more minor: the F-keys (F1-F12) are super small, yet there is a TON of dead space on the keyboard that could have easily accommodated normal sized F-keys or additional media buttons (more on this later)",keys,dead space on the keyboard 
384,"Second: there is little difference between the height and feeling of the ""mouse"" keys for left and right clicks and the height of the touchpad",keys,"difference between the height and feeling of the ""mouse"" keys "
385,"For example, most keyboards have small nubs or bevels on the ""F"" and ""J"" keys that make it easier to know where your fingers are on the keyboard without looking down",keys,keys that make it easier to know where your fingers are 
386,This keyboard also doesn't have media keys other than for volume and mute,keys,keys other than for volume 
387,"Many keyboards, including most others from Logitech, have keys for playing music and video for functions like Previous, Next, Play, Stop, etc",keys,keys for playing music 
388,"Even if the keyboard required something like Logitech's SetPoint software installed in order to use keys like this, that would be fine",keys,keys like this 
389,I often find myself fat fingering keys,keys,fat fingering keys 
390,What's bad about it (minor points):  - It's hard to pick up the keyboard without hitting one of those goofy programmable side keys  - I don't like those extra programmable keys,keys,goofy programmable side keys 
391,"----------------------------------------------------------------------- EDIT: 7/2012 The shift and spacebar keys have developed too much resistance, and it's worsening my already sore tendons",keys,spacebar keys have developed too much resistance 
392,"half the keys during the first year, making it very difficult to tell which is which",keys,difficult to tell which is which 
393,"I tested the keyboard on several computers and stripped the keys off and replaced them with those of the first keyboard, just in case there was another problem with the keys",keys,problem with the keys 
394,So  i purchased this product it works great with the keys and everything it just the touchpad it randomly wouldnt respond it was extremely irritating and i would recommend you look around for different wireless keyboards,keys,touchpad it randomly wouldnt respond 
395,The second started sending random keystrokes to the computer after about a month,keys,random keystrokes 
396,The key layout uses smaller keys than usual and takes a while to get used to,keys,layout uses smaller keys 
397,Those keys are incredibly easy to press and the back of the keyboard rises slightly so you don't have to reach as far for the top rows,keys,keys are incredibly easy to press 
398,These keyboards are destroyed the moment a few drops of liquid gets in-between the keys,keys,drops of liquid gets in-between the keys 
399,"However, just as the previous versions of the Natural, if you plan on using many keys simultaneously, this is not your keyboard",keys,"keys simultaneously, this is not your keyboard "
400,"The Natural 4000 shines in that it is very comfortable as the wrist rest area has built in pads with a soft leatherette feel, the keys are quiet, and we see a return to the front riser which alleviates wrist strain due to it assisting in keeping your wrists straight",keys,keys are quiet 
401,"The Natural also gets high marks in that the keys are quiet, they are arranged in the correct standard of 104 or so key layout, so if you are a developer, you know exactly where the keys are going to be (as far as special symbols, namely the ""|"" key, the arrow keys, and the ""Insert"", ""Delete"", etc) are in their correct locations",keys,keys are quiet 
402,"This keyboard comes with many media keys that allow you to do such things as start your music player, adjust your volume, start many popular programs including your web browser, etc",keys,keys that allow you to do such things as start your music player 
403,"With the leatherette in the front, the soft glowing leds, and the extra meta keys, it reminds someone as if he or she has upgraded his or her keyboard to a sports car",keys,extra meta keys 
404,"While many people could argue that they do not use the function keys, in an office environment one most certainly does (how many times do you hit F3 to ""look for the search result again"" after searching for text in a text editor? [argue, do, use, does, do, hit, look, searching] [many, many]
",keys,"hit F3 to ""look for the search result again"" "
405,The biggest issue I have is the number of keys one can press at a time before the keyboard simply can't handle any more input,keys,can't handle any more input 
406,"First person shooters, one may be able to pull it off, but even the simplest games such as Continuum, or even old titles such as Interstate 76 where multiple keys will be pressed as you are holding one key down for movement, and another one for an action, it is probably headed for failure",keys,keys will be pressed 
407,"The only final notes I can add for the Natural is noting the additional media keys, your mileage of going through a KVM to control multiple computers will vary",keys,"keys, your mileage of going through a to control multiple computers "
408,"Also, the Natural 4000 works well with Linux (but again, not well from the Gaming perspective) as there are a few methods that can be used to allow use of the additional media keys",keys,not well from the Gaming perspective 
409,"I thought that i would miss keys because it has been years since my last microsoft natural keyboard, but i have a surprisingly low error rate - the shape is about the same as my old one I would guess",keys,miss keys 
410,LIKES: * TACTILE: I really like the tactile resistance of these keys when typing,keys,tactile resistance of these keys 
411,"Nothing irks me more than a loose-buttoned keyboard where the buttons shake and click, and this keyboard is the diametrical opposite of that - a nice firm keystrike, with good push-back",keys,loose-buttoned keyboard 
412,Most of the short cut keys even function with my locked down computer at work,keys,short cut keys even function 
413,It's sooo easy to get spoiled on the convenient layout of the keys,keys,convenient layout of the keys 
414,"My main and only gripe with the Dinovo was missing F1-F12 keys, and having to Fn+click for right-mouse click",keys,missing F1-F12 keys 
415,I would have given it only one star but liked the other functionality of the keys and especially the raised lip on the bottom of the wrist side of the keyboard,keys,raised lip 
416,"(negative angle is when the edge of the keyboard where the space bar is,is higher than the further edge of the keyboard, where the function keys are)",keys,negative angle 
417,"Like so many others, a bunch of keys stopped working on mine",keys,keys stopped working 
418,"With a spacebar actuator on both the left and right sides of the keyboard, this problem would disappear and the space bar would actuate like all of the other keys (which respond nicely)",keys,space bar would actuate 
419,All but one of the keys on this keyboard are great,keys,keys on this keyboard are great 
420,the constant fishing around for the proper keystrokes led only by your sense of touch,keys,keystrokes led only by your sense of touch 
421,The media controls: Are only accessible via function keys,keys,controls: Are only accessible via function keys 
422,Could have more WMC keys,keys,Could have more WMC keys 
423,My last keyboard lasted me about five years and all of the keys are still readable,keys,keys are still readable 
424,There's a nice feel to the hand placement and good action in the keys,keys,good action in the keys 
425,"I do transcription work, I haven't been able to become fully adjusted to the arrangement of the keys",keys,adjust to the arrangement of the keys 
426,"The biggest pains are the number 6 key, and the distance between the arrow keys and the alpha keypad",keys,distance between the arrow keys 
427,"My second objection is that the I don't feel the raised bumps on the F, J, and 5 keys , and I frequently find my fingers in the wrong position, typing junk, and having to go back and correct",keys,"I don't feel the raised bumps on the F, J, and 5 keys "
428,"I really didn't need to, my fingers fly on the old KB, but wanted USB and wanted a bit quieter keys",keys,"I really didn't need to, my fingers fly on the old KB "
429,"), and the split in the keys is very comfortable for me",keys,split in the keys 
430,"Now I don't need a specific ""gaming KB"" to play games, but I do need to be able to press more than 2 or 3 keys simultaneously",keys,need to be able to press more than 2 or 3 keys 
431,"* On my PS2 old KB, the backslash is under the ENTER key, and I use that key for game functions (I game with mouse and arrow keys, not with WASD keys)",keys,backslash is under the key 
432,"It is a decent KB, comfortable, split very well, and quiet keys",keys,quiet keys 
433,"Ergo: The shape of the keyboard and placement of keys (other than spacebar), is pretty darn comfortable Keyboard noise/response: Doesn't make too much noise which is good(but neither does it feel rock solid",keys,"spacebar), is pretty darn comfortable "
434,"Billions of useful hotkeys: You don't need all of them, but there are plenty of options, and if you start to get lazy there's a key for everything or a key you can customize to get anything done",keys,get a key 
435,I can't tell you how many keys I have assigned that require me to hit something with the side of my hand or pinky finger,keys,keys I have assigned that require me to hit something 
436,"With inlaid keys, this becomes difficult to impossible",keys,"keys, this becomes difficult to impossible "
437,"The second problem is that this comes with a key stroke limit - after you have about 3 keys down at once, it stops reading what you are doing",keys,problem is that this comes with a key stroke limit 
438,"Aside from a slightly different keyboard layout which I'll have to get used to, I'm much happier with that keyboard -- no problems with the spacebar, very responsive keyboard, and no stiff keys aside from the function keys",keys,stiff keys 
439,"It was hard for me to reach all the keys that required my pinkies (it actually hurt and gave me finger cramps! [was, reach, required, hurt, gave] [hard]
",keys,hard for me to reach all the keys 
440,the keys are soft to the touch and i didn't mind that either,keys,keys are soft to the touch 
441,This probably would have been fine if it wasn't for the addition of arrow keys wedged in under the Enter key,keys,keys wedged in under the Enter key 
442,"It does have a nice feeling keystroke, the range and accuracy of the wireless seems excellent, and the touchpad (the reason I bought this model vs",keys,range and accuracy of the wireless seems excellent 
443,However the keys themselves are labeled with what appears to be just wet-transfer decals (like the ones you get in a model airplane kit) which will undoubtedly rub off with use,keys,keys themselves are airplane with what appears to be just wet-transfer decals 
444,"its easy on your hands from a position point, but I wonder how much wear and tear I am getting from the way I have to pound these keys? [wonder, tear, am, getting, have, pound] [easy, much]
",keys,pound these keys 
445,I have also worn most of the letters off the keys,keys,I have also worn most of the letters off the keys 
446,"I really liked this keyboard when I got it, despite the fact that it was missing the 'V' key and had two 'D' keys instead",keys,missing the 'V' key 
447,The keys have a sure over-center action,keys,keys have a sure over-center 
448,"I enjoy the ergonomics of the key board, but one feature that I also love is the quite touch keys",keys,quite touch keys
449,Don't be gutless like me and make sure you return your keyboard if any of hte keys make clicking noises,keys,keys make clicking noises 
450,The slightest drop of liquid on the keys of this keyboard will completely ruin it,keys,drop of liquid on the keys 
451,nice and smooth on the keys and nice looking,keys,smooth on the keys 
452,"
",keys,
453,"If you're okay with these minor constraints than it's a great device, good wireless range, decent battery life, fair construction, etc",range,minor constraints 
454,"The back light worked great, range was good for what I needed 15ft",range,range was good 
455,The further I put my wifi router away from the little usb dongle the better range I get,range,dongle the better range 
456,I'm using this for a HTPC and it has good range but is awkward to use in dim light,range,awkward to use in dim light 
457,"Tested this out at my office, and it works great as a presentation tool, but with the shoddy reception (at any range or without line-of-sight), it simply doesn't cut it as a replacement keyboard",range,shoddy reception 
458,"But when held in a way that doesn't block the antenna, the range is acceptable",range,block the antenna 
459,"I was a bit wary about this keyboard after reading all of the negative comments regarding its range here, but I never even got to a point where I could test the range for myself",range,negative comments regarding its range 
460,"Strangely, my offense is nearly good enough to be my defense while the keyboard is frozen",range,keyboard is frozen 
461,"Pros ++ Keyboard installs itself on Vista or later and all extra keys work with the basic drivers ++ Key layout is curved slightly, good for those who don't want a full split keyboard ++ Integrated number pad is a nice extra for a budget keyboard ++ Quiet key action will suit those who don't like loud ""clicky"" keyboards ++ CTRL Shortcuts are starred under common keys like x, c, v, b, u, I, & f, making this a good learning keyboard ++ Additional extra keys include the normal function keys, back, forward, music controls and 3 extras (web/home, search & mail) ++ There's even a calculator shortcut button built-in ++ Keyboard's lower profile is much thinner than most ergonomic keyboards ++ Lowest cost in an ergonomic keyboard makes this an option for those on a budget Cons -- Plastic body is noticeably cheap -- Keys have little tactile feedback, making this unpleasant to use for longer periods -- Not curved enough for those who prefer full split ergonomic designs -- Keys are sticker prints that will eventually wear off (typical of low cost keyboards) -- High failure rates (also typical of low cost keyboards ALTERNATIVES It's a challenge to find decent results with ergonomic or split keyboards in this price range",range,Keys have little tactile feedback 
462,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range,squished-together arrow keys 
463,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range,directional arrows are impossible to correctly hit 
464,"Cons: - The tiny plastic feet are useless - Some letters on keyboard are larger than others (annoying) - Keys feel way too soft and offer no feedback - Missing extra media controls While this keyboard may be ""comfortable"" and looks nice, it's just not practical for daily use if the feet break, the keys feel strange, and it slows down your typing experience",range,Keys feel way too soft 
465,The description says that with the USB receiver you should be able to have a range of up to 30 ft,range,range of up to 30 ft 
466,"If you look closely at the arrow keys, ""Insert"", ""Home"", ""Delete"", and ""End"" keys you will see that the keys are smaller and arranged differently than a standard keyboard",range,keys are smaller and arranged differently 
467,"Finally, there are nubs on the F and J keys to allow for finding the home row in the dark (although the blue backlighting (compare to orange with the iPazzPort) is easy to activate)",range,keys to allow for finding the home row in the dark 
468,I realize and expected a low quality device given that peripherals of this price range are dominated by cheap Chinese products however I must warn any potential customer that this device is far below even most cheap Chinese knock-off devices you will find on the internet and that's really saying something,range,knock-off devices 
469,Not because its a good device or because it has redeeming qualities but merely because there is no device in this price range that can replace this one's functions,range,no device in this price range that can replace 
470,I'm not sure if I got a defective model (seems to be a lot of those) but at the range from which it worked I could practically just use the keyboard on my laptop instead,range,range from which it worked 
471,"The computer is right behind the TV, so I've got to stand right next to TV to be able to received to be in range",range,stand right next to TV 
472,They gave me some strange looks because they had to order a special one for me,range,they had to order a special one 
473,Microsoft is such a strange company,range,Microsoft is such a strange company 
474,"After only a few days of use, the spacebar stopped working, and the number keys were either broken or typing strange combinations",range,keys were either broken 
475,"Pros: - nice compact size for thumb typing on the couch - good battery life and recharge-ability via USB - up/down left/right keys nice for navigating WMC and XBMC - back-lit keys for dark rooms Cons: - not durable at all (don't let it fall) - laser pointer feature useless for my application of this product (might be okay for PowerPoint slide viewing on a projector screen) - very limited RF receiver to keyboard range - has to have very unobstructed line of sight or typing/mousing functionality will be severely impacted - very bad placement of left/right mouse click buttons (after using this product I can say the ideal place for these would be in the upper left-hand corner ; thank you for this lesson FAVI as I will keep it in mind while I'm searching for your product's replacement) This was my first attempt at the ultimate HTPC keyboard/mouse, and after using it, I can say this product was good at pointing out all the flaws of these types of devices in today's market",range,limited RF receiver to keyboard range 
476,"My last complaint is another that might be out of the price range, but it would have been nice to have user-defined shortcuts and keyboard combinations and the ability to re-map the mouse-click buttons (see previous)",range,re-map the mouse-click buttons 
477,"There's one amount of force to push it down, then a strange stop",range,force to push it down 
478,The strange key resistance is unacceptable,range,strange key resistance 
479,"This strangely seems to be regardless of range; the device worked great with a good line-of-sight up to 30 feet away, through a window",range,range 
480,"It's not a range problem, happens the same way anywhere between 3' and 15'",range,range problem 
481,"Ok so it works great from close range but in my situation, this thing falls flat on its face",range,thing falls flat 
482,I sent my device back and got a Logitech Wireless Touch Keyboard K400 for a couple bucks extra which does EXACTLY what I wanted at a longer range,range,I sent my device back 
483,I used the Cideko Wireless Air Keyboard and Gyro Mouse Combo before trying this Logitech and have returned to the Cideko as the range is much greater,range,range is much greater 
484,i did no know so i bought one easy to use 30ft range comes with mouse and right and left click buttons cons: light weight feels cheep with the mouse pad in the way it slows down your typing speed you need to hold down the shift key to shift,range,mouse pad in the way 
485,"This set will probably become my desktop control for my laptop when I can actually afford a decent qwerty remote - at which point this lag - if it still happens within a much closer range, will probably annoy me a great deal more",range,lag - if it still happens 
486,"If this problem with the keyboard persists when I start using it with my laptop, at much closer range, I will definitely revise my review and my rating",range,problem with the keyboard 
487,I had one of these and sold it because of the key arrangements that are mentioned in other reviews,range,key arrangements 
488,I sit about 13-14 feet from the receiver but the functional range is more like 10-12 feet otherwise it is erratic,range,range is more like 10-12 feet 
489,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range,squished-together arrow keys 
490,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range,directional arrows are impossible to correctly hit 
491,"Good range (much more then my wireless mouse/keyboard), ease of use, and it is no bigger then any of my other remotes",range,"range (much more then my wireless mouse/keyboard), ease of use "
492,"The range is perfect, and it does what I need it to do",range,range is perfect 
493,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range,squished-together arrow keys 
494,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range,directional arrows are impossible to correctly hit 
495,"In order to get the Rii mini to respond, I would have to lean forward in the couch because I was at the very edge of the operating range",range,lean forward in the couch 
496,I mapped it out and the max range in which the remote responds reliably is about 8 feet,range,range in which the remote responds reliably 
497,I needed a 10 feet range and this product couldnt deliver it (which is very sad),range,couldnt deliver it 
498,"On a plus note, the device worked great when it was in range",range,worked great 
499,The status lights don't work - The drag and drop won't work - the auto shutoff for the backlighting does not work - the range is 3 feet up to 9 if I place the dongle and hold the keyboard just right - the backlighting is uneven behind the keys - not all keys make good contact - and those are just preliminary observations - the inept lack of ergonomics makes it seem like it was built by a committee of hair-brained wannabe sub-nerds - I took the chance and lost,range,keys make good contact 
500,"It seems to work fairly decent, range is ok",range,range is ok 
501,"The arrangement of the Home/Page Up/Page Dn/End/Delete/Insert and arrow keys may allow the keyboard to fit in trays, but otherwise it is insane",range,keys may allow the keyboard to fit 
502,* Range seemed acceptable--was using it at about 7-9 foot range,range,Range seemed acceptable 
503,I really can't imagine what sort of catastrophic design failure would lead to all these strange events,range,catastrophic design failure 
504,One department in our hospital loves these keyboards for some strange reason,range,keyboards for some strange reason 
505,I read some of the lower reviews and was hoping that mine would not have the range issues that some people were having,range,range issues 
