review,span,Aspect
"After this, my connection was intermittent at best", connection was intermittent ,connection
the second laptop (iBook) was OK at first but then twice the linksys router dropped the connection and stopped serving a wireless connection, dropped the connection ,connection
"But give it three wireless users authenticated based on MAC and allocated IP addresses, with 128bit WEP, shared key, then apply small ammount of traffic and the wireless connection drops ", connection drops ,connection
"100BaseTx users can continue to use the net, but signal strenght on wireless connection drop from 68-84 down to 0! [continue, use, drop] [100BaseTx, wireless] ", connection drop ,connection
the wireless connection dies , connection dies ,connection
"Installation was a breeze, but unfortunately my internet connection speed dropped by about 80% after installation, on both my desktop PC (wired to the router) and my new notebook", connection speed dropped ,connection
"I then tried to set up the router through Linksys's browser interface, but as the only instructions available tell you to use the installation CD, I had little luck - I did manage to connect briefly, but the connection kept dropping , and with no idea of how to resolve THAT issue, I gave up", connection kept dropping ,connection
I was very hopeful this would solve some connection issues I was having but this caused more trouble than it was worth, connection issues ,connection
"This is not much of an issue on initial setup since you are connect via ethernet, but you may have issues if you access the config wirelessly because iyou may lose the connection ", lose the connection ,connection
"The firmware is full of issues, connection drop often, every few minutes in some cases", connection drop ,connection
A few days later I began have connection problems on all the systems, connection problems ,connection
Test on T1 and T3 network at work it will drop connection because it over heats or it will lose speed more than half, drop connection ,connection
"I also use a IP VPN phone at home for work, this direct connection also didn't work ", connection also didn't work ,connection
"As soon as my girlfriend and I moved in together, and the router had to deal with the extra connection from my girlfriends Mac, we both started experiencing frequent dropped connection along with the regular reboots", dropped connection ,connection
I checked it out and sure enough the connection was dropping every 15 to 30 minutes, connection was dropping ,connection
"I tried it out at home, and even doing regular things, such as streaming video or surfing the internet would cause the router to drop connection ", drop connection ,connection
After doing a little investigating it seems this router ignores some pings (pings from the LAN side work) and therefore causes connection timeouts , connection timeouts ,connection
I purchased a new WGR614v4 two months ago and it started dropping the connection every few seconds, dropping the connection ,connection
"The DIR-655 seemed to drop the connection every 30 minutes or so, even with DynDNS, getting a new IP address this often is a pain", drop the connection ,connection
Further VOIP calls were regularly terminated by the router dropping the connection , dropping the connection ,connection
"Frequent dropped connection , interrupted VOIP, QOS no better than other options freely available", dropped connection ,connection
"After about six months, the router started dropping the internet connection at random intervals, sometimes for just a few seconds, sometimes for a couple of minutes", dropping the internet connection ,connection
Even with the latest firmware update the connection will drop randomly , connection will drop randomly ,connection
"However, after securing the network, the wireless connection died completely despite many attempts", connection died ,connection
Every few minutes it drops the connection and takes several minutes to reconnect again, drops the connection ,connection
"After two days of trying, I finally was able to connect only one laptop to it but the connection was very intermittent and frustratingly slow", connection was very intermittent ,connection
At first I blamed wireless interference from my neighbors but after connecting direclty to the router via ethernet cable I could still not get a connection , not get a connection ,connection
After disconnecting power and letting it cool down it works fine until it heats back up again and drops the connection , drops the connection ,connection
"After weeks of trying various settings, I still have connection issues and decided to change routers and go with NetGear", connection issues ,connection
"After several months, I noticed that the two other computers that I had connected to the wireless network would loose their connection occationally", loose their connection ,connection
"Very easy to setup and maintain, however it constantly drops it's inernet connection ", drops it's inernet connection ,connection
"I will routinely have full wireless signal strength, but the router will lose it's internet connection ", lose it's internet connection ,connection
Our first one had the nasty habit of dropping the connection when using a variety of programs, dropping the connection ,connection
"Worked like charm for couple months, and then just dropped connection every now and then", dropped connection ,connection
"a month later: Again to start the same: - lose connection - automatic test in the router is activated - connection is still lost - connection is restored (1 or 2 minutes) I checked for firmware upgrade, I did this, and reset router and other config details but the problem still continue and as the 3months warranty expired", lose connection ,connection
"but now, random connection will drop every few minutes", connection will drop ,connection
It makes the connection more or less useless , connection more or less useless ,connection
Two ports on the router don't work and the port 3 and 4 slow down my connection , slow down my connection ,connection
"Oh yeah its not even wireless, my 2 (top of the line) Macs lose the connection every other 30 seconds", lose the connection ,connection
"I purchased my router from bestbuy, and after a month of use, I kept getting disconnected from my wireless connection and the signal would decrease as soon as I connected", disconnected from my wireless connection ,connection
My biggest problem with it is that it constantly DROPS connection , DROPS connection ,connection
"As a wireless access point, connection fails when the USB adapter is in a room, and the router is in another room perhaps 60 feet away with a right angle turn", connection fails ,connection
I have had this piece of junk for 2 months now the original product would get the internet sharing done fine but drop connection randomly every hour or so, drop connection ,connection
"However, I've had all sorts of problems with wireless connection ; everytime I reboot my laptop it takes a few DAYS to get it to connect again! ['ve, had, reboot, takes, get, connect] [wireless, few] ", problems with wireless connection ,connection
"constantly drops the connection with rogers 3mb service, i DO NOT recommend this product, the only SEMI-FIX is to upgrade the firmware and PRAY for the best", drops the connection ,connection
"*****01/08/2011 Update**** Well I dropped the stars down to 2, it works well for a few hours then seems to drop connection which I have to hard reset the modem in order for it to get the connection again", drop connection ,connection
"If you're having intermittant connection problems , don't forget to test the router, especially if it's a Linksys! ['re, having, do, forget, test, 's] [intermittant] ", connection problems ,connection
"Been having nothing but trouble since, with my connection dropping as many as ten times a day for no apparent reasons, and I have to physically reset the router because of DNS problems", connection dropping ,connection
"Poor performance, slow connection , drop out's, and dies 1 day after warrently expires", slow connection ,connection
Now it regularly drops our wireless connection , drops our wireless connection ,connection
2 ) Anytime a cordless phone is used in the house it knocks out my wireless connection , knocks out my wireless connection ,connection
"It frequently loses the Internet connection regardless of wired or wireless, especially when streaming video", loses the Internet connection ,connection
"several times a day the connection gets interrupted , just long enough to disconnect online games", connection gets interrupted ,connection
"All for not, after 6 months it drops all wi-fi connection after a few hours of running old firmware or latest", drops all wi-fi connection ,connection
"The connection was spotty , but it's a great looking unit", connection was spotty ,connection
"After two months of lost connection , not being able to connect at all, and slow connection, I threw the router away", lost connection ,connection
"I've experienced many connection failures ! ['ve, experienced] [many] ", connection failures ,connection
"Everything seemed to be fine when it set on my desk, but as soon as I took it up one flight of stairs and her screen saver started, I lost my connection ", lost my connection ,connection
"In addition, my personal laptops, setting just a few feet away from the router frequently dropped their connection , completely frustrating my efforts", dropped their connection ,connection
Everything worked at first and then I noticed in the evening all my connection dropped , connection dropped ,connection
"Everything from complete lockups, dropped connection , etc", dropped connection ,connection
"After the installation, it worked for a half hour, then lost the connection ", lost the connection ,connection
When I finally connected the router guess what it would not hold a stable connection both wired and wireless, not hold a stable connection ,connection
"But when I started using the wireless connection, the connection between router and modem died ", connection between router and modem died ,connection
But most frustrating was that the router kept dropping the connection from one or more computers at any given time, dropping the connection ,connection
"Not sure if the button is flaky, or the power connection loose ", connection loose ,connection
"Received one free, worked for several months, then it kept dropping the connection ", dropping the connection ,connection
) At automatic kept losing the connection 4, losing the connection ,connection
"3 hours time spent with D-link tech support, my router still does not function as it should - I still get extremely slow and/or intermittent connection every 4-6 hours", intermittent connection ,connection
It started up ok on the first day but then it started to drop connection , drop connection ,connection
Install and set-up were really easy and range was great but got problems right away as I started to lose my internet connection every other day, lose my internet connection ,connection
"The next day, I turned on my laptop and it connected to the network, but no internet connection ", no internet connection ,connection
I loose connection and have to power down the router and then power it up to make it stable, loose connection ,connection
"Within a day, though, I started losing wireless connection to the router repeatedly", losing wireless connection ,connection
"The router is definitely usable, but I do lose connection 2-3X a day, at which point I either restart my computer or pull out the PC card and slide it back in", lose connection ,connection
The intermittent connection is annoying, intermittent connection ,connection
"Then, a month ago wireless connection started dropping ", connection started dropping ,connection
The wireless connection was slightly slower (about 5%) and the range was only slightly better than the old unit, connection was slightly slower ,connection
"After 9 month of good service, it drops internet connection every couple of hours both wired and wireless connection", drops internet connection ,connection
"The connection drops every 20 minutes or so and from what I've read online, this is a known problem", connection drops ,connection
Internet connection would drop even though the wireless connection would stay connected, connection would drop ,connection
It worked for about a week and then all of the wired and wireless computers lost their connection and could not access the Internet, lost their connection ,connection
I finally gave up when I tried to add a wireless bridge to the network and all of the other devices lost their connection , lost their connection ,connection
"Very limited range, and dropped connection are common", dropped connection ,connection
"My environment is not electrically noisy, either - this thing just doesn't have the power to do anything but short line of sight transmission, and connection die while the status monitor still reports signal strength as ""very good""", connection die ,connection
"Not worth it/older version, no hard-wire connection so very difficult to set up", connection so very difficult ,connection
Good specs and decent price are little consolation when invevitable upgrades kill your internet connection and you need support/new drivers, kill your internet connection ,connection
"It rates high at the rating sites, but is not easy to install, not easy to manage, offers a slow connection speed and lousy range", slow connection ,connection
The automatic connection process didn't work , connection process didn't work ,connection
My reason to purchase was a poor connection from the far room of the house, poor connection ,connection
"got up one morning, the wireless network connection was completely missing ", connection was completely missing ,connection
"I was consistently connecting at maximum 'g' speed, but the connection would drop every five minutes (almost to the second)", connection would drop ,connection
At even though that is horrible the worst thing is the dropped connection , dropped connection ,connection
"If I go out on my deck I get a stronger connection from someone elses router in my subdivision, and no connection from mine", no connection ,connection
"240 I got one of the devices to actually talk to my laptop once, but what I found out is that eventually, when configured, the device would usurp connection from the real router, and then my laptop would lose connection ", lose connection ,connection
"The router works fine for the first several weeks until it starts dropping signals, losing connection , requiring one to power-cycle the unit every five or so minutes", losing connection ,connection
The router worked great for about 6 months and then began to drop connection several times per hour through out the day, drop connection ,connection
"Not only does it drop wireless connection , it drops wired connection as well", drop wireless connection ,connection
When the connection goes down you'll know because you'll lose the ability to use the internet as well as the ability to use the network to access other devices and files, connection goes down ,connection
"Then, you have about 5 mins til your net connection dies (permanently)", connection dies ,connection
"It has an annoying tendency to drop its connection to the router occasionally, but at least it works most of the time", drop its connection ,connection
"I tried pairing the iPhone to the Garmin with the same result, while it says paired and connected, the minute the unit went into her car the connection is lost and cannot be be reconnected", connection is lost ,connection
"Unfortunately, the all the connection had been so unreliable that we bought a new (ethernet only) router, despite performing several power cycles and days of troubleshooting", connection had been so unreliable ,connection
"For the desktop computers on the other side of the house, about 40 feet away, there was NO connection to the internet - period", NO connection ,connection
"i bought the Linksys WRT54G a couple years ago (v1) and encryption never really quite worked (WEP or WPA); the connection would always be excruiatingly slow, or there would be no connection ", no connection ,connection
I have just solved a problem with intermittent WAN connection and overheating with this product, intermittent WAN connection ,connection
On hot days (today it's 85 degrees in my office) the D-Link DIR-655 router overheats when handling a lot of local network traffic (copying big files between computers) and drops the WAN connection (to the cable modem), drops the WAN connection ,connection
"For the life of me I couldn't figure out why the internet connection would stop working both on my wired computer and wireless one, I can't even access the internal ""admin"" site", connection would stop working ,connection
After that it intermittently would loose wireless connection , loose wireless connection ,connection
But after a few months I noticed it started to drop the connection when I would be playing an online game on the PS3, drop the connection ,connection
"Overall, the DIR-655 has a much better wireless range than my old DI-634M but the DIR-655 keeps dropping my wireless connection after about 5 mins for about 2 to 5 seconds", dropping my wireless connection ,connection
"This model is almost identical to the DIR-655 and so far after 2 hours, I have not had a connection drop with the TEW-633", connection drop ,connection
Then I was able to use the web without losing the connection every five minutes, losing the connection ,connection
"Microsoft came out with a fix for the delay and while it reduces the connect time to only a few seconds, the connection is lost after about 3 minutes", connection is lost ,connection
"Further the windows xp wireless client does not report that the connection has been lost , instead it shows that everything is just fine and dandy", connection has been lost ,connection
started having problems with dropped and slow as hell connection after a few weeks of using it, slow as hell connection ,connection
The accent was so thick and the phone connection was so bad that I finally gave up calling after three times and sent the unit back, connection was so bad ,connection
"However, out of the box, it had the same connection-dropping problems that you'll read about here and elsewhere on the web: it would work for a few minutes then drop the connection ", drop the connection ,connection
"In fact, when I changed the MTU the device stopped taking incoming connection entirely", stopped taking incoming connection ,connection
"The connection would drop for less than half a second, but just long enough to cause the webpage I would be trying to view to not appear", connection would drop ,connection
"I noticed that when I view video media, the connection totally freezes ", connection totally freezes ,connection
"The receiver is so painfully finicky, it does not keep connection ", does not keep connection ,connection
"First, I can't understand the Indian accents (my Indian friend can't understand them either, the VOIP connection's not so good either)", connection's not so good ,connection
"The second thing I've found is that when copying large files (media files > 1 GB) around on the wired LAN, my machines lose connection to one another frequently enough that the copy takes a LONG time to complete due to the network timeout", lose connection ,connection
"After half a dozen attempts following instructions, the new unit simply would not make an internet connection ", not make an internet connection ,connection
"In a grueling tech support session with a tech support staff, which might have been 2 hours or more of trial and error, the new DIR-655 still would not make an internet connection ", not make an internet connection ,connection
"As 4 other PC's were also connected to the network, I would find out pretty fast when the connection was dropped ", connection was dropped ,connection
 lost connection them my e-mail computer (DURON 1, lost connection ,connection
"Another example is that I was connected on my work laptop through VPN and everything worked great, but every other device in my house responded as if my internet connection was down ", connection was down ,connection
The wireless connection to this router stopped working , connection to this router stopped working ,connection
"Linksys has a firmware upgrade - and even after applying the thing, I still have connection refused issues and corrupt downloads that mysteriously go away when I take the router out of the picture", connection refused issues ,connection
"My old router was a Linksys that I had for years, and it was starting to slow down or drop connection when we had too much going on at once", drop connection ,connection
"But, it worked pretty good for around 2 months, and then it started dropping connection CONSTANTLY! [worked, started, dropping] [good] ", dropping connection ,connection
It says I dont have a connection or a very poor connection and I can get 2, very poor connection ,connection
4ghz radios started going out and dropping connection frequently, dropping connection ,connection
"I live in a two-story house and although I expected the signal strength to be somewhat degraded in the upstairs portion of the house, it was continually dropping the connection ", dropping the connection ,connection
"The range and signal strength is fantastic, I had it up and running out of the box within 5 minutes, and I have yet to experience a dropped connection ", dropped connection ,connection
com and realized that 90% of the users of this product are having the exact same problem with lost connection , lost connection ,connection
I think it is terrible for Netgear to continue selling this defective product without fixing the connection problem , connection problem ,connection
"After tech had called me back a couple of times due to poor connection on his end and we got cut off, he never called me back the last time", poor connection ,connection
"WPA connection are much slower , due to the encryption", connection are much slower ,connection
"It works fine for intranet communications, but it is constantly dropping the connection with the DSL modem", dropping the connection ,connection
"I ""solved"" my own problem by making all of the '98 '95 gaming machines NT workstations and haven't had a dropped connection since", dropped connection ,connection
"Because they bought this one, and unfortunately they had a problem - wireless and wired connection never worked ", connection never worked ,connection
"You experience constant disconnection during any movie streaming, downloading, or multiplayer sessions", experience constant disconnection ,connection
"It constantly drops connection , meaning I have to reboot the router usually several times a day, and it cuts my internet speed by about 50-70%", drops connection ,connection
"My only gripe about this product, that it doesn't handle a large amount of connection simultaneously well (200+ in my case)", doesn't handle a large amount of connection ,connection
"A few days ago, even this failed to restore connection ", failed to restore connection ,connection
"Router worked great for a year and a half, and then proceeded to drop connection randomly ",  drop connection randomly ,connection
I am unable to stabilize the connection , unable to stabilize the connection ,connection
"The router frequently drops connection , and if you use AIM or any instant messenger this becomes rapidly annoying to you (having to see the reconnect box 3 times an hour) and to all your friends (having to watch ur name sign on/off at the same rate)", frequently drops connection ,connection
"11g card gets reliable reception, and even then the connection is very slow ",  connection is very slow ,connection
"It connects with an XP PC a Windows 7 PC and XBOX 360, although the connection is erratic at times",  connection is erratic ,connection
I still experience connection problems whatsoever , connection problems whatsoever ,connection
"When it was enabled, the connection would drop out ", connection would drop out ,connection
"The router is fast, with only occasional connection drops ", occasional connection drops ,connection
"Several times an hour, the router drops the connection --last night I was walking a staff member through a long Web-based project, and realized what a nightmare this router is in terms of reliability", drops the connection ,connection
"Once I got it setup properly, it still dropped connection often on the wireless link, even though my Linksys wireless card showed a strong and high quality signal", dropped connection often ,connection
If you research this Router (as I should have) you will find this router is notorious for losing connection , notorious for losing connection ,connection
The phone connection always seemed bad , connection always seemed bad ,connection
Router is not very reliable - unstable and slow connection and downdoading; you have to restart your computer at least twice in hour, unstable and slow connection ,connection
My connection drops now and then and I thought it might be the SMC because it's several years old and the BEFSR41 might be more compatible, connection drops now and then  ,connection
Even then it still had intermittent connection issues, had intermittent connection ,connection
I lost the wireless connection about 3 times a day with this and had to do constant resets, lost the wireless connection ,connection
This product is ok but I am constantly having problems with it dropping my internet connection and causing a problem with my computer configuration for internet settings, dropping my internet connection ,connection
"This NETGEAR WNDR 3700 router was returned as defective for poor performance, weak signal connection , and buggy software", weak signal connection ,connection
"It has been dropping connection like every 10-15 minutes making my wife going ballistic (she uses internet for work) I couldn't figure out where the problem is; called local cable company to see if there is problem on their end, have them send technician, then replaced cable modem itself and still the same", has been dropping connection ,connection
"I use VPN to connect to work, and my VPN connection was dropping nightly", connection was dropping ,connection
"Renewal is simple, but then I have to re-establish my VPN connection , and restart my backups which is painful", have to re-establish my VPN connection ,connection
"The wireless functionality worked great, but PCs wired to the router would lose connection ", would lose connection ,connection
"Now I have a connection, but every time I try to enable WEP encryption or disable SSID broadacst, I lose the wireless connection ", lose the wireless connection ,connection
It started dropping connection and restarting itself at odd intervals, started dropping connection ,connection
"Just like many other users, my connection would break , it would act like it never seen my computer before to the point that I would have to repeatedly take it apart and reconnect the wire setup", connection would break ,connection
"We managed to get wireless set up, but the connection was extremeley flaky -- it kept on dropping and we got page not found errors", connection was extremeley flaky ,connection
This router will drop your connection faster than Kim K dropped her second husband, drop your connection ,connection
At first it worked okay even with sporadic connection , sporadic connection ,connection
I could never hold connection steady for a few hours, never hold connection steady ,connection
The NetGear was easy to setup but dropped connection frequently and when working was very slow - taking 30 sec, dropped connection frequently ,connection
At the end of three hours I had not achieved a successful connection and I conceded final defeat when I lost my telephone connection to the second Linksys technician, lost my telephone connection ,connection
"It dropped my connection constantly , it needed to be reset daily in order to work", dropped my connection constantly ,connection
"Then, the panasonic skype phone started to refuse to connect to my network, constantly got connection problems , random reset of the router, etc", constantly got connection problems ,connection
"as for the product, it is very good for our use in apartment home, haven't experienced any drop in connection since installing it last month", drop in connection ,connection
"My laptop will not hold a connection if I am more then 100 feet away from the thing! [hold, am] [more] ", will not hold a connection ,connection
"The router worked well for the first 4 months and then it started dropping connection to various devices (iPads, Apple TV, laptops", started dropping connection ,connection
) It was extremely frustrating to start watching a show on Netflix only to have the Apple TV return to the main menu because the wireless connection kept disappearing , connection kept disappearing ,connection
The wireless access always drops your connection , drops your connection ,connection
Was getting bad connection from pingtest, getting bad connection ,connection
Following the next few days the connection wouldn't last from morning to evening without a reboot, connection wouldn't last ,connection
"Enabling WPA2, WPA, or even old WEP on the WCG200 prevented any connection with the WRE54G", prevented any connection ,connection
"The only way I could establish and maintain a connection was to (1) leave broadcast SSID turned on, and (2) leave the wireless connection completely open and unencrypted -- and that was after performing a manual configuration", maintain a connection ,connection
The connection was intermittent , connection was intermittent ,connection
"When I then moved the wire to the desktop and used the laptop wirelessly, the internet connection was just fine ", connection was just fine ,connection
The wireless is a little spotty - my connection speed bounces around quite a bit while not moving (and not being particularly far from the router), connection speed bounces ,connection
"The signal strength is surprisingmuch weaker than my old super G, with frequent dropping of the connection on all 3 HP notebook running on G, as well as my Palm TX", frequent dropping of the connection ,connection
"it drops internet connection every 2 or 3 hours and the range of wireless is less than 14 feet! [drops, is] [wireless, less] ", drops internet connection ,connection
"The first few months I had little trouble, the last month it has been dropping connection ", has been dropping connection ,connection
" Had very slow connection , and my wireless card would not connect unless I reboot the router (yes, very convenient)", Had very slow connection ,connection
"The past few days I started to have connection problems with my wired PC, and tonight I unhooked the router, connected my PC back to the cable modem, and the connection is just fine; it's the router that I am ready to chuck", have connection problems ,connection
"Suddenly and mysteriously, the device will stop making connection to the outside after a number of hours", will stop making connection ,connection
"In the unlikely event that your wireless connection goes down , this device comes with 4 ethernet ports so that you can just plug in your computer with a regular ethernet cable (assuming that your computer has an ethernet card)", connection goes down ,connection
It is utterly frustrating in that the computer is 8 feet away in direct sight of the router and is yet unable to establish a connection , unable to establish a connection ,connection
We may lose the internet connection . , lose the internet connection ,connection
When attached to my old one it would drop my internet connection repeatedly, would drop my internet connection ,connection
After one year this router is dropping connection at random times, is dropping connection ,connection
"When it works it is very fast, but I cannot have these dropped connection especially since they seem to be getting more frequent", dropped connection ,connection
"There are no issues with the other devices in our house (ipods, laptop, PCs, BluRay Player), but I have been losing my phone connection with NetTalk ", losing my phone connection ,connection
"The dlink rep told me to return it, so I did and the second one did link up, but it dropped the connection all the time and was unusable", dropped the connection ,connection
If It fail the only message is connection failed try latter, connection failed ,connection
It constantly drops the internet connection and simple things like WALLS in our house block the link so everything is very slow, drops the internet connection ,connection
"After hours and hours of investigation and setting different options and going through technical support, my internet connection was still slow and constantly breaking off", connection was still slow ,connection
" Drops internet connection every few days, requiring a hard reboot", Drops internet connection ,connection
"But once we move into an adjacent room, all bets are off- we get no wireless connection ", get no wireless connection ,connection
The second problem is that our wireless printer doesn't work well with this router having an intermittent connection , having an intermittent connection ,connection
"It loses connection with satellite , there's delays in directions, wrong signals, no warning before battery dies, touchscreen is not sensitive enough to recognize input, and the list goes on and on", loses connection with satellite ,connection
"The connection drops all the time , you are browsing just fine at good speed (with cable modem have an average speed of 5Mbps) and all of the sudden the next click (or any other action over the network) never gets resolved", connection drops all the time ,connection
Today I can tell that this problem is mainly on the wireless but still you have problems with the wired connection , have problems with the wired connection ,connection
"I tried all the tips posted in these reviews so far, and a half dozen more on line but I got intermittent connection at best", got intermittent connection ,connection
Anytime a cordless phone is used in the house it knocks out my wireless connection , knocks out my wireless connection ,connection
The wireless connection is sometimes not stable , connection is sometimes not stable ,connection
Some say it might be the ISP but I have another computer connected through an ethernet connection - no problem there when my wireless connection drops , wireless connection drops ,connection
"You might find yourself losing connection without any reason or logical pattern, and it will result in long hours of frustrating efforts TRYING to solve the issues", losing connection without any reason ,connection
I have taken the same equipment directly to the modem without any dropped connection , dropped connection ,connection
Both these software require uninterrupted connection , require uninterrupted connection ,connection
I bought this router without checking reviews here and got DSL connection drops just like many other people on day 1, connection drops ,connection
"Lo and behold, the DSL connection drops stop and my cordless phone noise disappears", connection drops stop ,connection
"I think this router wireless transmission frequency somehow interferes with the telephone line which, in turns, drops the DSL connection ", drops the DSL connection ,connection
"Whenever I open WoW, it crashes my entire connection ", crashes my entire connection ,connection
"I would see that the ""internet"" led light on the router would stay blue (turns yellow if there's limited/no connection ), but for some odd reason I can't visit any website", there's limited/no connection ,connection
"This is a great router when it works, but when you're internet connection gets lost every few hours, it gets annoying", connection gets lost ,connection
"Inconsistent connection strength laptop kept roaming to AccessPoint b/c signal was stronger than range extender, despite being closer to the range extender -""Auto"" setup doesn't support WEP WPA (not well documented either) -At this price, setup, performance, and security support is very poor Strengths: -Solid, compact construction -Versatile power options (attach to wall plate or sit on surface) -Intuitive blue indicator light on box to show AccessPoint connectivity -Web-based admin tools (although somewhat lacking in functionality) -Looks great (only reason I gave it 2 stars)",Inconsistent connection strength ,connection
"We have a space that is only 60x40x30 feet requiring coverage inside the house, and there are often problems maintaining a connection through two walls and 40 feet of distance", problems maintaining a connection ,connection
"Moreover, there should not be any drop in the connection speed if I connect the LAN cable to laptop using the new router vs", drop in the connection ,connection
"When gaming or streaming, the DIR-655 begins to fail after 20 minutes and loses connection . ", loses connection ,connection
All wireless connection fail , wireless connection fail ,connection
"Still, despite their being tons of complaints all over the Internet from BEFW11S4 owners that they are losing their connection all the time, and having to unplug and replug in the router to reconnect, Linksys doesn't seem to acknowledge that there is a real problem still outstanding", losing their connection ,connection
"The moment you lose your connection , return it for a full refund and go buy a competing product (unless you want a new exercise program that entails doing a lot of standing up and walking over to your router)", lose your connection ,connection
"But I had to return it because for an unknown reason, it dropped my connection from time to time", dropped my connection ,connection
"The Diag light went to solid red, I could not get a connection on any device, nor could I pull an IP or gain access to the router settings", could not get a connection ,connection
The wired connection is interrupted , connection is interrupted ,connection
The thing needs constant restarts for your connection to be any faster than a snails pace, restarts for your connection ,connection
"I owned this device for about a year, then it started dropping connection several times a day", started dropping connection ,connection
"05, restarts at least once a day, drops and reconnects the DSL connection multiple times a day", drops and reconnects the DSL connection ,connection
Not only was the wireless portion dead but the wired connection were dead as well, connection were dead ,connection
Anywhere lose connection at the same time on two different computers, lose connection ,connection
"I got this over a year ago and it started out working just fine, then over time It started to drop connection . ", started to drop connection ,connection
"However, connection don't last more than 4 minutes, even if I'm seeing WRT54G", connection don't last ,connection
Wireless connection drop every 5 seconds after established, connection drop every 5 seconds ,connection
Needed a router at that moment fast so I got a quick replacement from Staples and the brand new one drops connection too , drops connection too ,connection
Then it started dropping connection and acting flaky, started dropping connection ,connection
I would lose my wireless connection , lose my wireless connection ,connection
I was having the flakiest connection . , having the flakiest connection ,connection
"Still, the link quality is poor on the wireless(goes from 100% to dropping the connection immediately)", dropping the connection ,connection
"On the other hand, the wireless connection drops out intermittently for no apparant reason", connection drops out intermittently ,connection
"The router dropped connection and needed to be power cycled 5 times 3) I decided to buy, try, and test the apple airport extreme router", dropped connection ,connection
The main problem with this router is that the connection inexplicably drops , connection inexplicably drops ,connection
Now the ethernet connection drops for no apparent reason , connection drops for no apparent reason ,connection
The router dropped connection after a few minutes , router dropped connection ,connection
I am now unable to recover connection , unable to recover connection ,connection
But it can also be quite annoying when the unit decides its unhappy and resets or modifies connection settings rendering the unit inoperable, resets or modifies connection ,connection
Everything was great until it started dropping internet connection sporadically, started dropping internet connection ,connection
I am having the same problem with the router dropping connection every few minutes , dropping connection every few minutes ,connection
"The first one is at work, the wireless connection lost completely ", connection lost completely ,connection
"I noticed that the internet connection speed was slow , and my VOIP phone was noisy", connection speed was slow ,connection
"Many times, I have been forced to reset the router for the gateway connection would get lost ", connection would get lost ,connection
"Other times, I need to reset because the wireless connection is lost ", connection is lost ,connection
The absolute most annoying thing is that the router seems to drop the connection frequently , drop the connection frequently ,connection
 Frequently dropped connection . , Frequently dropped connection ,connection
The only bad thing is the connection goes off every now and then which is really annoying, connection goes off ,connection
 lost connection them my e-mail computer (DURON 1, lost connection ,connection
 Kept getting our connection dropped , Kept getting our connection dropped ,connection
) we have not dropped a single connection and the coverage is outstanding, dropped a single connection ,connection
WAY too many dropped connection , too many dropped connection ,connection
I was exciting for 2 mins after connecting to the wireless router but then my connection dropped , my connection dropped ,connection
I was unable to establish connection , unable to establish connection ,connection
They were: VOIP (Vonage) calls would drop as the internet connection would drop on the first ring and thus the Vonage device would go straight to voicemail, internet connection would drop ,connection
 lost connection them my e-mail computer (DURON 1, lost connection ,connection
This router (WGR614v6) keeps dropping the wireless connection , keeps dropping the wireless connection ,connection
I was really happy that finally I would not have dropped connection and have better range, would not have dropped connection ,connection
"To my utter dismay, after everything was setup and working, the router started dropping connection every 3 minutes and the range was about 1 foot", dropping connection every 3 minutes ,connection
I also had bad connection problems and the screens came up garbled a lot on the web, had bad connection ,connection
The connection is horrendously slow , connection is horrendously slow ,connection
I have to reset the wireless connection on each computer in order to reestablish wireless communication with the router, reset the wireless connection ,connection
"At least that one worked reliably, albeit providing a slow connection ", providing a slow connection ,connection
"In the first few days of owning it have had multiple problems with dropped connection , just like many others have had", problems with dropped connection ,connection
"It may coincide with the DSL modem dropping the PPPoE connection and getting a new IP, but I'm not sure", dropping the PPPoE connection ,connection
DLink router that I bought frequently dropped connection , frequently dropped connection ,connection
The connection drop is frustrating , connection drop is frustrating ,connection
Please search for the thread on the linksys support forum titled BEFSR41 v4 intermittent drop of connection which goes on for 4 pages, intermittent drop of connection ,connection
I returned this router after the second day of dealing with it's constant connection drops and bought a Belkin instead, constant connection drops ,connection
"It stalled and a flag came up ""firmware failed"" halfway through--probably because of it's dropping the connection during file upload", dropping the connection ,connection
In small print D-link tells you that some types of USB connection will fail so I did not pursue further, connection will fail ,connection
