,review,Aspect,preds
345,If you rest your wrist on it such that you bend your hand up to reach the keys you may cause yourself some wrist problems,keys, reach the keys  
346,"So all in all, the keys operate nicely, it's reasonably quiet and seems that it will be around my office for quite some time",keys, keys operate nicely  
347,The extra features you get with the 4000 (like the zoom controller and soft keys) are marginal at best and don't make up for the lack of reliability,keys, keys) are marginal 
348,I bought this to help with carpel tunnel but it has made it worse  You have to really push to use the keys and stretch like crazy if you have small hands  i have made 6 mistakes typing this,keys, push to use the keys 
349,"Loved that keyboard, but the keys only held up for a little over a year before getting really difficult to use",keys, keys only held up 
350,"It is really responsive( at least 15 feet away, which is all you would want to be) and the keys type just like you would text on a phone",keys, keys type  
351,"The main keys are fairly quiet, but the spacebar ""clacks"" like a gun going off in comparison",keys," spacebar ""clacks""  "
352,"The main keys are a bit quieter than my 10+ yr old ""Microsoft Natural Keyboard"" but overall that one is quieter compared to the constant ""clack"" (like there's ducks in my office) of the space bar",keys, keys are a bit quieter  
353,"I still prefer my old PS/2 white (now yellow) keyboard w/o all of the ""hot keys"" which is working great still but just no pretty anymore",keys," ""hot keys""  "
354,The keys are very quiet,keys, keys are very quiet  
355,The Microsoft Natural Keyboard Elite is easy to type on - the keys feel light and you don't need to use too much pressure,keys, keys feel light 
356,"It does not have separate 'Home', 'End', 'Page Up' and 'Page Down' keys that I use very frequently",keys, keys that I use  
357,"They keys are arranged in a straight rectangle fashion, not staggered like a regular qwerty keyboard, so it's often unintuitive to type on it",keys, keys are arranged in a straight rectangle  
358,"Unfortunately, for about 1/4 of the keys, when you press keys, the keyboard sends two keystrokes - the key pressed and the neighbouring key",keys, keyboard sends two keystrokes 
359,The keys are soft and not overly loud,keys, keys are soft  
360,"I took it apart to see why it stopped working and I was surprised to see that the plastic ""floor"" under the keys is not a single piece, but actually has lots of cracks and holes by design, and they give direct access to the electronics to anything you may throw in there by accident",keys, keys is not a single piece  
361,"Withing six months an even worse problem (letters wearing off on the keys)with this keyboard! [Withing, wearing] [worse]
",keys, wearing off on the keys  
362,"I was seduced by the fancy function keys, the zoom bottom, and the cushioned wrist rest",keys, cushioned wrist 
363,The rest of the keys were quiet,keys, keys were quiet  
364,"Aside from that, the keyboard feels comfortable and it's correctly sized, and provides some extra keys that some might find useful (multimedia, mail, desktop, window switching and so)",keys, keys that some might find useful 
365,"As with several other people who have shared their thoughts on this product, I must say that I absolutely hate it because of the tiny arrow, page up/down, home, insert, delete, and end keys",keys, tiny arrow 
366,"As a HTPC remote, this keyboard surely has far too few built-in media keys",keys, keyboard surely has far too few built-in media 
367,"It only has mute, volume up and down keys at the top",keys, volume up and down keys  
368,"I've been using PowerDVD on the PC for a long time and I'm very much used to just pressing F, B, N, P (hotkeys for forward, rewind, next chapter, previous chapter) instead of using dedicated media keys",keys, PC on the PC 
369,"There are also many special functions accessible only via hotkeys, such as Blu-ray's red, blue, green, and yellow buttons",keys, many special functions 
370,So I'm very comfortable being without dedicated media keys,keys, without dedicated media 
371,"It feels more cramped than a laptop keyboard, mainly due to the much smaller Enter, right Shift, Backspace, and Control keys, which are the most used (that's why they are usually made wider)",keys," keys, which are the most used "
372,"Other often-used keys like Home, End, PgUp, and PgDn also need to be Fn-extended (meaning you need to press the green Fn key plus another key)",keys, press the green Fn key  
373,"I like the soft feel of the keys and it's not terribly noisy, like my Dell L100",keys, soft feel of the keys  
374,"But one attribute kills the potential beauty of this board, the space bar, which is one of the most used keys",keys," space bar, which is one of the most used  "
375,"Keyboard feels decent, although I will say that the keys feel like they have multiple-levels and it's kind of odd to hear the space bar make 3-4 clicks for one function (this could just be exclusively my remote) The one MAJOR con I have is the fact that it's an RF device that is easily attenuated by your left hand and seemingly has line-of-sight problems",keys, space bar make 3-4 clicks 
376,"The size of this keyboard is built more for guys who have larger hands, and I find I have to constantly move my hand around or stretch my fingers to reach all the letter keys",keys, constantly move my hand 
377,"Touch typists all know that the first five number keys are hit by the fingers of the left hand, and six through ten are hit by the right",keys, keys are hit  
378,"I just can't get used to the Ergo type keyboard, used to a flat one, never seem to get my fingers on the right keys",keys, never seem to get my fingers on the right 
379,Looks like they have one light in the middle and it barely manages to light up the far away keys,keys, barely manages to light up the far away 
380,I would have much preferred the arrow keys placed under the touch pad buttons than in its current location,keys, keys placed under the touch pad  
381,unfortunately the small right shift key and its promximity to the arrow keys produces way too many errors for touch typists,keys, keys produces way too many errors 
382,"To make matters worse the reduced-size cursor keys are not in the usual inverted T, but in a cruciform arrangement, which makes this keyboard pretty useless for people who engage in FPS games like Quake 2/3, Unreal etc",keys, reduced-size cursor keys 
383,"First, which is more minor: the F-keys (F1-F12) are super small, yet there is a TON of dead space on the keyboard that could have easily accommodated normal sized F-keys or additional media buttons (more on this later)",keys, dead space  
384,"Second: there is little difference between the height and feeling of the ""mouse"" keys for left and right clicks and the height of the touchpad",keys," little difference between the height and feeling of the ""mouse"" keys  "
385,"For example, most keyboards have small nubs or bevels on the ""F"" and ""J"" keys that make it easier to know where your fingers are on the keyboard without looking down",keys, keys that make it easier to know where your fingers 
386,This keyboard also doesn't have media keys other than for volume and mute,keys, doesn't have media keys 
387,"Many keyboards, including most others from Logitech, have keys for playing music and video for functions like Previous, Next, Play, Stop, etc",keys, keys for playing music  
388,"Even if the keyboard required something like Logitech's SetPoint software installed in order to use keys like this, that would be fine",keys, software installed in order to use keys  
389,I often find myself fat fingering keys,keys, fat fingering 
390,What's bad about it (minor points):  - It's hard to pick up the keyboard without hitting one of those goofy programmable side keys  - I don't like those extra programmable keys,keys, goofy programmable side keys 
391,"----------------------------------------------------------------------- EDIT: 7/2012 The shift and spacebar keys have developed too much resistance, and it's worsening my already sore tendons",keys, spacebar keys have developed too much 
392,"half the keys during the first year, making it very difficult to tell which is which",keys, very difficult to tell which is 
393,"I tested the keyboard on several computers and stripped the keys off and replaced them with those of the first keyboard, just in case there was another problem with the keys",keys, stripped the keys off  
394,So  i purchased this product it works great with the keys and everything it just the touchpad it randomly wouldnt respond it was extremely irritating and i would recommend you look around for different wireless keyboards,keys, touchpad it randomly wouldnt respond 
395,The second started sending random keystrokes to the computer after about a month,keys, sending random keystrokes 
396,The key layout uses smaller keys than usual and takes a while to get used to,keys, keys than usual  
397,Those keys are incredibly easy to press and the back of the keyboard rises slightly so you don't have to reach as far for the top rows,keys, keys are incredibly easy to press 
398,These keyboards are destroyed the moment a few drops of liquid gets in-between the keys,keys, drops of liquid 
399,"However, just as the previous versions of the Natural, if you plan on using many keys simultaneously, this is not your keyboard",keys, using many keys  
400,"The Natural 4000 shines in that it is very comfortable as the wrist rest area has built in pads with a soft leatherette feel, the keys are quiet, and we see a return to the front riser which alleviates wrist strain due to it assisting in keeping your wrists straight",keys, wrist rest area has built in pads 
401,"The Natural also gets high marks in that the keys are quiet, they are arranged in the correct standard of 104 or so key layout, so if you are a developer, you know exactly where the keys are going to be (as far as special symbols, namely the ""|"" key, the arrow keys, and the ""Insert"", ""Delete"", etc) are in their correct locations",keys, keys are going to be 
402,"This keyboard comes with many media keys that allow you to do such things as start your music player, adjust your volume, start many popular programs including your web browser, etc",keys, keys that allow you to do such things 
403,"With the leatherette in the front, the soft glowing leds, and the extra meta keys, it reminds someone as if he or she has upgraded his or her keyboard to a sports car",keys, leatherette in the front 
404,"While many people could argue that they do not use the function keys, in an office environment one most certainly does (how many times do you hit F3 to ""look for the search result again"" after searching for text in a text editor? [argue, do, use, does, do, hit, look, searching] [many, many]
",keys, not use the function keys 
405,The biggest issue I have is the number of keys one can press at a time before the keyboard simply can't handle any more input,keys, keys one can press  
406,"First person shooters, one may be able to pull it off, but even the simplest games such as Continuum, or even old titles such as Interstate 76 where multiple keys will be pressed as you are holding one key down for movement, and another one for an action, it is probably headed for failure",keys, keys will be pressed  
407,"The only final notes I can add for the Natural is noting the additional media keys, your mileage of going through a KVM to control multiple computers will vary",keys," keys, your mileage  "
408,"Also, the Natural 4000 works well with Linux (but again, not well from the Gaming perspective) as there are a few methods that can be used to allow use of the additional media keys",keys, few methods that can be used 
409,"I thought that i would miss keys because it has been years since my last microsoft natural keyboard, but i have a surprisingly low error rate - the shape is about the same as my old one I would guess",keys, miss keys  
410,LIKES: * TACTILE: I really like the tactile resistance of these keys when typing,keys, resistance of these keys  
411,"Nothing irks me more than a loose-buttoned keyboard where the buttons shake and click, and this keyboard is the diametrical opposite of that - a nice firm keystrike, with good push-back",keys, loose-buttoned keyboard 
412,Most of the short cut keys even function with my locked down computer at work,keys, short cut keys  
413,It's sooo easy to get spoiled on the convenient layout of the keys,keys, spoiled on the convenient layout  
414,"My main and only gripe with the Dinovo was missing F1-F12 keys, and having to Fn+click for right-mouse click",keys, missing F1-F12 keys  
415,I would have given it only one star but liked the other functionality of the keys and especially the raised lip on the bottom of the wrist side of the keyboard,keys, functionality of the keys  
416,"(negative angle is when the edge of the keyboard where the space bar is,is higher than the further edge of the keyboard, where the function keys are)",keys, keys are)
417,"Like so many others, a bunch of keys stopped working on mine",keys, keys stopped working 
418,"With a spacebar actuator on both the left and right sides of the keyboard, this problem would disappear and the space bar would actuate like all of the other keys (which respond nicely)",keys, space bar would actuate 
419,All but one of the keys on this keyboard are great,keys, keys on this keyboard are great  
420,the constant fishing around for the proper keystrokes led only by your sense of touch,keys, keystrokes 
421,The media controls: Are only accessible via function keys,keys, controls are only accessible 
422,Could have more WMC keys,keys, could have more WMC keys  
423,My last keyboard lasted me about five years and all of the keys are still readable,keys, keys are still readable 
424,There's a nice feel to the hand placement and good action in the keys,keys,  hand placement 
425,"I do transcription work, I haven't been able to become fully adjusted to the arrangement of the keys",keys, haven't been able to become fully adjusted to the arrangement 
426,"The biggest pains are the number 6 key, and the distance between the arrow keys and the alpha keypad",keys, distance between the arrow keys  
427,"My second objection is that the I don't feel the raised bumps on the F, J, and 5 keys , and I frequently find my fingers in the wrong position, typing junk, and having to go back and correct",keys," raised bumps on the F, J, and 5 keys "
428,"I really didn't need to, my fingers fly on the old KB, but wanted USB and wanted a bit quieter keys",keys, quieter keys  
429,"), and the split in the keys is very comfortable for me",keys, split in the keys  
430,"Now I don't need a specific ""gaming KB"" to play games, but I do need to be able to press more than 2 or 3 keys simultaneously",keys, press more than 2 or 3 keys  
431,"* On my PS2 old KB, the backslash is under the ENTER key, and I use that key for game functions (I game with mouse and arrow keys, not with WASD keys)",keys," keys, not with WASD keys  "
432,"It is a decent KB, comfortable, split very well, and quiet keys",keys, quiet keys  
433,"Ergo: The shape of the keyboard and placement of keys (other than spacebar), is pretty darn comfortable Keyboard noise/response: Doesn't make too much noise which is good(but neither does it feel rock solid",keys," keys (other than spacebar), is pretty darn comfortable "
434,"Billions of useful hotkeys: You don't need all of them, but there are plenty of options, and if you start to get lazy there's a key for everything or a key you can customize to get anything done",keys, key for everything  
435,I can't tell you how many keys I have assigned that require me to hit something with the side of my hand or pinky finger,keys, keys I have assigned that require me to hit something 
436,"With inlaid keys, this becomes difficult to impossible",keys," keys, this becomes difficult  "
437,"The second problem is that this comes with a key stroke limit - after you have about 3 keys down at once, it stops reading what you are doing",keys, keys down  
438,"Aside from a slightly different keyboard layout which I'll have to get used to, I'm much happier with that keyboard -- no problems with the spacebar, very responsive keyboard, and no stiff keys aside from the function keys",keys, stiff keys  
439,"It was hard for me to reach all the keys that required my pinkies (it actually hurt and gave me finger cramps! [was, reach, required, hurt, gave] [hard]
",keys, keys that required my pinkies 
440,the keys are soft to the touch and i didn't mind that either,keys, keys are soft to the touch 
441,This probably would have been fine if it wasn't for the addition of arrow keys wedged in under the Enter key,keys, keys wedged  
442,"It does have a nice feeling keystroke, the range and accuracy of the wireless seems excellent, and the touchpad (the reason I bought this model vs",keys, touchpad (the reason I bought this model 
443,However the keys themselves are labeled with what appears to be just wet-transfer decals (like the ones you get in a model airplane kit) which will undoubtedly rub off with use,keys, keys themselves are labeled  
444,"its easy on your hands from a position point, but I wonder how much wear and tear I am getting from the way I have to pound these keys? [wonder, tear, am, getting, have, pound] [easy, much]
",keys, pound these keys  
445,I have also worn most of the letters off the keys,keys, worn most of the letters off  
446,"I really liked this keyboard when I got it, despite the fact that it was missing the 'V' key and had two 'D' keys instead",keys, missing the 'V' key  
447,The keys have a sure over-center action,keys, keys have a sure over-center  
448,"I enjoy the ergonomics of the key board, but one feature that I also love is the quite touch keys",keys, quite touch keys  
449,Don't be gutless like me and make sure you return your keyboard if any of hte keys make clicking noises,keys, keys make clicking 
450,The slightest drop of liquid on the keys of this keyboard will completely ruin it,keys, drop of liquid on the keys  
451,nice and smooth on the keys and nice looking,keys, smooth on the keys  
452,"
",keys,  keys are dropped  
453,"If you're okay with these minor constraints than it's a great device, good wireless range, decent battery life, fair construction, etc",range, good wireless 
454,"The back light worked great, range was good for what I needed 15ft",range, range was good 
455,The further I put my wifi router away from the little usb dongle the better range I get,range, better range 
456,I'm using this for a HTPC and it has good range but is awkward to use in dim light,range, range but is awkward 
457,"Tested this out at my office, and it works great as a presentation tool, but with the shoddy reception (at any range or without line-of-sight), it simply doesn't cut it as a replacement keyboard",range, shoddy reception 
458,"But when held in a way that doesn't block the antenna, the range is acceptable",range, range is acceptable 
459,"I was a bit wary about this keyboard after reading all of the negative comments regarding its range here, but I never even got to a point where I could test the range for myself",range, test the range  
460,"Strangely, my offense is nearly good enough to be my defense while the keyboard is frozen",range, keyboard is frozen 
461,"Pros ++ Keyboard installs itself on Vista or later and all extra keys work with the basic drivers ++ Key layout is curved slightly, good for those who don't want a full split keyboard ++ Integrated number pad is a nice extra for a budget keyboard ++ Quiet key action will suit those who don't like loud ""clicky"" keyboards ++ CTRL Shortcuts are starred under common keys like x, c, v, b, u, I, & f, making this a good learning keyboard ++ Additional extra keys include the normal function keys, back, forward, music controls and 3 extras (web/home, search & mail) ++ There's even a calculator shortcut button built-in ++ Keyboard's lower profile is much thinner than most ergonomic keyboards ++ Lowest cost in an ergonomic keyboard makes this an option for those on a budget Cons -- Plastic body is noticeably cheap -- Keys have little tactile feedback, making this unpleasant to use for longer periods -- Not curved enough for those who prefer full split ergonomic designs -- Keys are sticker prints that will eventually wear off (typical of low cost keyboards) -- High failure rates (also typical of low cost keyboards ALTERNATIVES It's a challenge to find decent results with ergonomic or split keyboards in this price range",range, Keys have little tactile  
462,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range, squished-together arrow  
463,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range, directional arrows are impossible to correctly hit 
464,"Cons: - The tiny plastic feet are useless - Some letters on keyboard are larger than others (annoying) - Keys feel way too soft and offer no feedback - Missing extra media controls While this keyboard may be ""comfortable"" and looks nice, it's just not practical for daily use if the feet break, the keys feel strange, and it slows down your typing experience",range, Keys feel way too soft 
465,The description says that with the USB receiver you should be able to have a range of up to 30 ft,range, have a range  
466,"If you look closely at the arrow keys, ""Insert"", ""Home"", ""Delete"", and ""End"" keys you will see that the keys are smaller and arranged differently than a standard keyboard",range, keys are smaller  
467,"Finally, there are nubs on the F and J keys to allow for finding the home row in the dark (although the blue backlighting (compare to orange with the iPazzPort) is easy to activate)",range, nubs on the F and J keys  
468,I realize and expected a low quality device given that peripherals of this price range are dominated by cheap Chinese products however I must warn any potential customer that this device is far below even most cheap Chinese knock-off devices you will find on the internet and that's really saying something,range, price range are dominated  
469,Not because its a good device or because it has redeeming qualities but merely because there is no device in this price range that can replace this one's functions,range, price range that can replace  
470,I'm not sure if I got a defective model (seems to be a lot of those) but at the range from which it worked I could practically just use the keyboard on my laptop instead,range, could practically just use the keyboard 
471,"The computer is right behind the TV, so I've got to stand right next to TV to be able to received to be in range",range, have to stand right next to TV 
472,They gave me some strange looks because they had to order a special one for me,range, ordered me some strange looks 
473,Microsoft is such a strange company,range, strange company 
474,"After only a few days of use, the spacebar stopped working, and the number keys were either broken or typing strange combinations",range, keys were either broken  
475,"Pros: - nice compact size for thumb typing on the couch - good battery life and recharge-ability via USB - up/down left/right keys nice for navigating WMC and XBMC - back-lit keys for dark rooms Cons: - not durable at all (don't let it fall) - laser pointer feature useless for my application of this product (might be okay for PowerPoint slide viewing on a projector screen) - very limited RF receiver to keyboard range - has to have very unobstructed line of sight or typing/mousing functionality will be severely impacted - very bad placement of left/right mouse click buttons (after using this product I can say the ideal place for these would be in the upper left-hand corner ; thank you for this lesson FAVI as I will keep it in mind while I'm searching for your product's replacement) This was my first attempt at the ultimate HTPC keyboard/mouse, and after using it, I can say this product was good at pointing out all the flaws of these types of devices in today's market",range, laser pointer feature useless 
476,"My last complaint is another that might be out of the price range, but it would have been nice to have user-defined shortcuts and keyboard combinations and the ability to re-map the mouse-click buttons (see previous)",range, re-map the mouse-click buttons 
477,"There's one amount of force to push it down, then a strange stop",range,  button's one amount of force 
478,The strange key resistance is unacceptable,range, strange key resistance 
479,"This strangely seems to be regardless of range; the device worked great with a good line-of-sight up to 30 feet away, through a window",range, device worked great 
480,"It's not a range problem, happens the same way anywhere between 3' and 15'",range, range problem 
481,"Ok so it works great from close range but in my situation, this thing falls flat on its face",range, thing falls flat 
482,I sent my device back and got a Logitech Wireless Touch Keyboard K400 for a couple bucks extra which does EXACTLY what I wanted at a longer range,range, Logitech Wireless Touch Keyboard K400 
483,I used the Cideko Wireless Air Keyboard and Gyro Mouse Combo before trying this Logitech and have returned to the Cideko as the range is much greater,range, wireless Air Keyboard and Gyro Mouse Combo 
484,i did no know so i bought one easy to use 30ft range comes with mouse and right and left click buttons cons: light weight feels cheep with the mouse pad in the way it slows down your typing speed you need to hold down the shift key to shift,range, mouse pad in the way  
485,"This set will probably become my desktop control for my laptop when I can actually afford a decent qwerty remote - at which point this lag - if it still happens within a much closer range, will probably annoy me a great deal more",range, lag 
486,"If this problem with the keyboard persists when I start using it with my laptop, at much closer range, I will definitely revise my review and my rating",range, problem with the keyboard 
487,I had one of these and sold it because of the key arrangements that are mentioned in other reviews,range, key arrangements 
488,I sit about 13-14 feet from the receiver but the functional range is more like 10-12 feet otherwise it is erratic,range, functional range is more like 10-12 feet 
489,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range, squished-together arrow  
490,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range, directional arrows are impossible to correctly hit 
491,"Good range (much more then my wireless mouse/keyboard), ease of use, and it is no bigger then any of my other remotes",range," wireless mouse/keyboard), "
492,"The range is perfect, and it does what I need it to do",range, range is perfect  
493,"I agree with the other negative reviews regarding the smaller size and changed arrangement of the Insert/Home keys, and the smaller squished-together arrow keys",range, squished-together arrow  
494,The newly sized and arranged directional arrows are impossible to correctly hit without first hitting every other key around them,range, directional arrows are impossible to correctly hit 
495,"In order to get the Rii mini to respond, I would have to lean forward in the couch because I was at the very edge of the operating range",range, have to lean forward 
496,I mapped it out and the max range in which the remote responds reliably is about 8 feet,range, range in which the remote responds reliably 
497,I needed a 10 feet range and this product couldnt deliver it (which is very sad),range, product couldnt deliver 
498,"On a plus note, the device worked great when it was in range",range, device worked great 
499,The status lights don't work - The drag and drop won't work - the auto shutoff for the backlighting does not work - the range is 3 feet up to 9 if I place the dongle and hold the keyboard just right - the backlighting is uneven behind the keys - not all keys make good contact - and those are just preliminary observations - the inept lack of ergonomics makes it seem like it was built by a committee of hair-brained wannabe sub-nerds - I took the chance and lost,range, not all keys make good contact 
500,"It seems to work fairly decent, range is ok",range, range is ok 
501,"The arrangement of the Home/Page Up/Page Dn/End/Delete/Insert and arrow keys may allow the keyboard to fit in trays, but otherwise it is insane",range, keys may allow the keyboard to fit  
502,* Range seemed acceptable--was using it at about 7-9 foot range,range, Range seemed acceptable 
503,I really can't imagine what sort of catastrophic design failure would lead to all these strange events,range, catastrophic design failure 
504,One department in our hospital loves these keyboards for some strange reason,range, keyboards for some strange reason 
505,I read some of the lower reviews and was hoping that mine would not have the range issues that some people were having,range, range issues 
506,"After a year of using this product, the letter ""B"" no longer works, which is strange because I rarely use the letter B",range, never use the letter 
507,"Although attractively designed and potentially ideal for home theater use, this unit has such a limted transmission range that it cannot be recommended",range, limted transmission range  
508,"Also, even though they say the range is 30 feet, it's stupid because 2",range, range is 30 feet 
509,4ghz devices will eat the hell out of battery at this range,range, eat the hell out of battery 
510,"I find it strange since we invented typewriters, the QWERTY keyboard has survived this long while the typewriter manufacturers never created an ""ergonomically styled typewriter""? [find, invented, has, survived, created, styled] [strange, long]
",range," ""ergonomically styled typewriter "
511,"The only reason i say this is because I have the logitech dongle plugged in my computer and the device works in EVERY room in the house even the garage, you will not get this kind of range with the Rii Portable",range, not get this kind of range  
512,The range is good enough for me; about 12 feet,range, range is good 
513,"The only aspect that is really, really annoying is the arrangement of the 4 arrow keys (LEFT, RIGHT, UP, DOWN)-- the separate arrow keys that are not embedded in the number pad",range, keys that are not embedded  
514,"The arrow keys are unusually small, and the arrangement is weired",range, keys are unusually small  
515,I'd pay for extra $ to improve this key arrangement or have the usual arrow key arrangement at the expense of the separate number pad,range, improve this key arrangement 
516,"I agree the shape of the keyboard, key arrangement and palm rest are very comfortable, but the basics went wrong here",range,  key arrangement 
517,I've found the range to be acceptable but not outstanding,range, range to be acceptable 
518,Actual maximum range is about 6-8' (same as regular wireless keyboard) 2,range, range is about 6-8' 
519,"However, I've used many computer keyboards in this price range, and they've seemed positively luxurious by comparison",range,  keyboard's menu range  
520,My work arrangements require me to divide my time between a Microsoft Natural Ergonomic 4000 Keyboard (at home) and various standard keyboards,range, divide my time 
521,"I am just in range, another 6 inches and it get flakey fast",range, flakey 
522,hard to type and range is good no more than five feet away,range, range is good 
523,It has pretty good range,range,  has pretty good range 
524,the range is also good,range, range is also good 
525,"I decided to replace the keyboard, and just moved up to a higher price range (expecting higher quality) and a different brand (Logitech)via Amazon",range, lower price range 
526,Then it started spraying out random keypresses and control characters which caused many windows to open and strange characters entered in dialog boxes,range, random keypresses 
527,"However, be aware that Microsoft decided to rearrange several clusters of keys on this keyboard",range, rearrange several clusters of keys  
528,I had to use a USB extension cable and put the receiver way up high on my entertainment unit in order to get a good response range,range, receiver way up high 
529,I get ~2 foot range if I am lucky,range, foot range  
530,"Size is perfect, operation & sensitivity are OK - providing you're in range (which IMO is quite a bit shorter than they advertise)",range, sensitivity are OK 
531,"I do appreciate that the numberpad and the function keys (Insert, Delete, Home, etc) are in the traditional arrangement",range," keys (Insert, Delete, etc) are in the traditional  "
532,"I really struggled giving this one star, but without a reasonable range, or any range at all, it renders the whole thing useless",range,  range  
533,The range is excellent,range, range is excellent 
534,"Besides making those keys smaller than older boards, I see no reason for them to have rearranged them, but I'm sure that in time my hands will get used to it",range, keys smaller  
535,"If the manufacturer had built in a 30ft range and maintained a bit more quality control I've have bought a second, but as it is I'm taking advantage of Amazon's return policy and sending it back",range, losing a bit more quality 
536,"They keys are arranged in a straight rectangle fashion, not staggered like a regular qwerty keyboard, so it's often unintuitive to type on it",range, keys are arranged in a straight rectangle  
537,"The HTPC is using wireless networking, and it's clear that the more network traffic there is, the worse the reception is for the remote (not surprising since they are using the same frequency range)",range, worse the reception 
538,"I've read other reviews saying they get much better range, but certainly not out of mine! ['ve, read, saying, get] [other, better]
",range,"  range,  "
539,"Its wireless range is good, as I have no connection problem within 20 feet away from the PC",range, connection problem 
540,"I think they are sending out the bad (literally the range was 2 feet from the receiver) units on purpose, as most people won't pay to ship them back for a replacement",range, range was 2 feet  
541,"To make matters worse the reduced-size cursor keys are not in the usual inverted T, but in a cruciform arrangement, which makes this keyboard pretty useless for people who engage in FPS games like Quake 2/3, Unreal etc",range, reduced-size cursor keys 
542,"Second, I was really frustrated with the range of this device at first",range, frustrated with the range  
543,Finally I found that I get good range if I hold the device so that the back faces the HTPC,range, get good range 
544,"com/gp/product/B005JR1LXE/ref=cm_cr_asin_lnk/176-6700503-9867209"">RII Mini Wireless Bluetooth Keyboard - Compatible with Apple iPad PC and Mac , Built-in Touchpad Mouse, Backlit Display and Laser Pointer</a>)to see if it does better with range",range, wireless Bluetooth Keyboard - Compatible with Apple iPad PC and Mac 
545,"Still, the keyboard is reliable, cheap, and has great range",range, keyboard is reliable 
546,"The Natural also gets high marks in that the keys are quiet, they are arranged in the correct standard of 104 or so key layout, so if you are a developer, you know exactly where the keys are going to be (as far as special symbols, namely the ""|"" key, the arrow keys, and the ""Insert"", ""Delete"", etc) are in their correct locations",range, keys are going to be 
547,"So many of the interesting models of ergonomic keyboards re-arrange the ""Insert"", ""Delete"", ""End"", etc keys that it makes the keyboard awkward",range, keys that it makes the keyboard awkward
548,"Bottom line: A very good wireless keyboard and mouse combo for the price range, but heavy typers may want to look for something a bit more wear-resistant, and with a more classical layout",range, heavy typers 
549,"This is my first ergonomic keyboard, and although it feels kinda strange, I know it will worth in the long run, but the space key is the worst I've ever seen",range, space key is the worst 
550,Fully charged the wireless range is about 2',range, wireless range is about 2 
551,"I do transcription work, I haven't been able to become fully adjusted to the arrangement of the keys",range, haven't been able to become fully adjusted to the arrangement 
552,"It actually did work as advertised, and I found the range to be better than the average wireless device",range, range to be better 
553,I figure the actual range on this unit is aprox less then 2 feet,range, range on this unit is aprox 
554,"PROs + Size is excellent, smaller than a typical tv remote + Keyboard is very compact but the keys are large enough to be usable + Touchpad is a key advantage of the design and is big enough to be usable + Mouse keys and arrow bottons are well placed, below the touchpad + Range is fine (some reviewers criticized range but I had no problems, see note below on line of sight) + Battery life is good CONs - Keys are poor quality and often stick or require multiple touches to register (sometimes you press a key once and have it fill the screen with the same character, other times you have to press the same key 4 or 5 times to get anything) - Touchpad often is not responsive (when it works it's great but often it doesn't and you have to turn it off and on again) - Appears to require line of sight connection with USB receiver",range, Touchpad often is not responsive 
555,"It does have a nice feeling keystroke, the range and accuracy of the wireless seems excellent, and the touchpad (the reason I bought this model vs",range, touchpad (the reason I bought this model 
556,"
",range,  keys are dropped  
557,"would be nice if the mouse buttons were on the other side of the keyboard so with one finger can operate track pad, then other hand have mouse buttons",pad, buttons were on the other side  
558,"It works (connects easily and every time) and it's nice to have the laptop style trackpad built-in, unfortunately the keys are cramped for serious typing",pad, keys are cramped 
559,"MS keyboards (especially this one) are very wide and use a ton of space to the right of the arrow keys, mainly for the number pad",pad," keys, mainly  "
560,"Look for something that doesn't use an idiotic F-lock design, and get a keyboard without (or with a detachable) number keypad section, so your hand can get to the mouse more easily",pad," keypad section, "
561,""" It's at least 3 inches wider (and a lot bulkier) than my old standard Dell keyboard, not counting the wrist pad or elevating stand",pad, wrist pad  
562,The wrist pad feels nice but picks up debris really easily,pad,  wrist pad feels nice 
563,I'm going to try the other Rii device w/ blu tooth and the touch pad in the middle,pad, touch pad in the middle  
564,Supposedly that touch pad is adjustable,pad, touch pad is adjustable 
565,"4 Ghz Super Long Range (30m Max) Removable Battery Htpc Ipad with Connection Kits Full Qwerty Keyboard Adjustable Dpi Touchpad for Pc, Apple, Xbox360, Ps3)   Had it for 3 months now, love it",pad," Autopsy for Pc, Apple, Xbox360, Ps3) "
566,"The track pad is decent, you can even game with it",pad, track pad is decent 
567,"The other ""extra"" keys haven't gotten much use yet, but as I ramp up the keyboard's use for work -- and Excel -- I think I'll really like the extra numeric keypad keys (parens and equals)",pad, keys haven't gotten much use  
568,I needed an illuminated quiet wireless keyboard with a touchpad,pad, needed an illuminated quiet wireless 
569,The touchpad is not functional and keys appear to stick or just don't respond at all,pad, keys appear to stick  
570,"Pros: - perfect ergonomics - nice leather wrist padding Cons: - noisy spacebar - spacebar presses harder then letter keys - F-keys devided into two groups, while classically it should be three - a bit large Could be perfect without issue with spacebar",pad, spacebar presses harder 
571,"We really need a touch pad due to reduce strain on our hands, but this keyboard only added new strains",pad,  touch pad due to reduce strain 
572,The touch pad is not as jerky and seldom double taps when not intended,pad, pad is not as jerky 
